word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
bluejay,2.294117647,1.11544017,34,2.5,1.309307341,8,2.230769231,1.069866994,26
blueprint,2.482758621,1.089583461,29,2.666666667,1.118033989,9,2.4,1.095445115,20
blues,2.111111111,1.154700538,27,2.166666667,1.466804401,12,2.066666667,0.883715102,15
bluff,2.484848485,1.148945498,33,2.846153846,1.068188018,13,2.25,1.164157703,20
blunder,3.157894737,1.385763831,38,2.846153846,1.405118847,13,3.32,1.375984496,25
blur,2.68,1.2489996,25,2.375,1.060660172,8,2.823529412,1.333945938,17
blush,2.8,1.13679712,40,2.714285714,1.007117528,21,2.894736842,1.286456669,19
boa,2.404761905,1.190603942,42,2.555555556,1.199128224,18,2.291666667,1.197067673,24
boar,2.275862069,1.192133493,29,2,1,11,2.444444444,1.293523334,18
boarder,2.054054054,1.104182602,37,2.157894737,1.25888654,19,1.944444444,0.937595311,18
boarding,1.925,0.944281032,40,2.210526316,0.917662935,19,1.666666667,0.912870929,21
boardroom,2.166666667,1.019916607,30,2.117647059,1.053704948,17,2.230769231,1.012739367,13
boardwalk,2.027027027,1.040472288,37,1.882352941,0.927520414,17,2.15,1.136708082,20
boast,2.388888889,1.177837674,36,2.133333333,1.245945806,15,2.571428571,1.121223821,21
boat,2.536585366,0.924596154,41,2.315789474,0.885226373,19,2.727272727,0.935125058,22
boathouse,2.185185185,1.144788762,27,2.153846154,1.14354375,13,2.214285714,1.188313053,14
boatman,2.592592593,1.217161239,27,2.875,1.356202682,8,2.473684211,1.172292202,19
bobcat,2.148148148,1.166971877,27,2.454545455,1.213559752,11,1.9375,1.123610253,16
bobsled,3.228571429,1.086974059,35,3.444444444,1.096637761,18,3,1.060660172,17
body,2.37037037,1.079463832,27,2.5,1.354006401,10,2.294117647,0.919558718,17
bog,2.903225806,1.374890025,31,2.769230769,1.640825308,13,3,1.188177052,18
boil,2.206896552,1.423760372,29,2.285714286,1.437335753,14,2.133333333,1.457329587,15
boiler,2.212121212,1.053493467,33,2,1.12815215,12,2.333333333,1.016530045,21
bollocks,3.842105263,1.078695804,38,3.944444444,1.109966731,18,3.75,1.069923755,20
bolt,2.29787234,1.249606784,47,2.470588235,1.419403354,17,2.2,1.156689688,30
bomb,2,1.069044968,36,2.266666667,1.099783528,15,1.80952381,1.030487633,21
bomber,1.90625,1.25362378,32,1.9375,1.123610253,16,1.875,1.408308678,16
bombshell,2.6,1.302517456,30,2.333333333,1.435481125,12,2.777777778,1.215369978,18
bondage,2.451612903,1.609113828,31,3,1.55597321,20,1.454545455,1.213559752,11
bone,2.804878049,1.345724938,41,2.631578947,1.460993814,19,2.954545455,1.252702706,22
bonnet,2.694444444,1.064208477,36,2.357142857,1.081817762,14,2.909090909,1.019294383,22
bonsai,3.147058824,1.459189334,34,3.076923077,1.255755978,13,3.15,1.631111988,20
bonus,2.195652174,1.147355708,46,2.285714286,1.189237451,21,2.12,1.12989675,25
boob,3.72972973,1.146217176,37,3.65,1.424411236,20,3.823529412,0.727606875,17
booby,4.066666667,0.868344971,30,4.384615385,0.650443636,13,3.8125,0.981070844,16
boogie,3.675675676,1.248422428,37,3.714285714,1.138728807,14,3.652173913,1.335143699,23
book,2.148148148,1.321528943,27,2.545454545,1.507556723,11,1.875,1.147460965,16
bookcase,2.43902439,0.975929826,41,2.055555556,0.998364676,18,2.739130435,0.864312197,23
bookie,2.935483871,1.12355044,31,2.4,0.966091783,10,3.19047619,1.123345344,21
booklet,1.974358974,1.038399058,39,1.947368421,0.970319776,19,2,1.123902974,20
bookshop,2.340909091,1.077101663,44,2.333333333,1.137592918,18,2.346153846,1.056117709,26
bookworm,2.709677419,1.418768207,31,2.692307692,1.601281538,13,2.722222222,1.319784098,18
boom,2.829268293,1.115850327,41,2.538461538,1.198289379,13,2.964285714,1.07089934,28
boon,3.448275862,1.152209272,29,3.461538462,1.330124344,13,3.4375,1.030776406,16
boost,2.760869565,1.196007852,46,2.681818182,1.210523839,22,2.833333333,1.203858531,24
booster,2.551724138,1.241721354,29,2.25,1.055289706,12,2.764705882,1.347655917,17
boot,2.206896552,1.081642611,29,1.454545455,0.687551651,11,2.666666667,1.028991511,18
boots,2.352941176,1.124987621,34,2.285714286,1.38278267,14,2.4,0.940324692,20
booty,4.318181818,0.934425013,44,4.533333333,0.743223353,15,4.206896552,1.013456263,29
booze,3,1.38443731,25,3.333333333,1.58113883,9,2.8125,1.276388133,16
bop,3.577777778,1.157758196,45,3.75,1.125462868,16,3.482758621,1.18384029,29
boredom,2,1,23,2,1.322875656,9,2,0.784464541,14
borough,2.3,1.2077337,30,2.357142857,1.277445941,14,2.25,1.183215957,16
bosom,3.066666667,1.2298958,30,3.2,1.264911064,15,2.933333333,1.222799287,15
boss,2.296296296,1.170628195,27,2.416666667,1.443375673,12,2.2,0.941123948,15
bother,2.115384615,1.142870879,26,2.666666667,1.211060142,6,1.95,1.099042646,20
bounce,3.03030303,0.983769806,33,3,0.9701425,18,3.071428571,1.071611706,14
bouncer,2.72972973,1.146217176,37,2.470588235,1.280510009,17,2.95,0.998683344,20
bound,2.037037037,1.018350154,27,2.125,0.991031209,8,2,1.054092553,19
bounty,2.529411765,1.079710795,34,2.214285714,1.121713759,14,2.75,1.019545823,20
bouquet,2.594594595,1.235121664,37,2.2,1.475729575,10,2.740740741,1.129758061,27
bout,2.171428571,1.070615938,35,1.666666667,0.778498944,12,2.434782609,1.121123096,23
boutique,2.68,1.144552314,25,2.857142857,1.345185418,7,2.611111111,1.092158623,18
bow,2.592592593,1.118352472,27,2.428571429,1.016349858,14,2.769230769,1.23516842,13
bowel,2.909090909,1.326267394,44,2.736842105,1.446916463,19,3.04,1.240967365,25
bowels,2.771428571,1.330318721,35,3.266666667,1.162919151,15,2.4,1.353358396,20
bowl,2.428571429,1.289909123,35,2.444444444,1.381483526,18,2.411764706,1.227743027,17
bowler,2.694444444,1.28328695,36,2.736842105,1.367971136,19,2.647058824,1.221739358,17
bowling,2.290322581,1.070624378,31,2.307692308,1.250640861,13,2.277777778,0.95828005,18
boxer,2.5,1.161242803,34,2,1.17260394,17,3,0.935414347,17
boy,2.594594595,1.165701016,37,2.714285714,1.38278267,14,2.52173913,1.038773981,23
boycott,2.0625,1.10533895,32,1.875,1.024695077,16,2.25,1.183215957,16
boyfriend,2.394736842,1.128008858,38,2.052631579,1.17727011,19,2.736842105,0.991189256,19
boyhood,2.41025641,1.044230987,39,2.307692308,0.947330933,13,2.461538462,1.103839453,26
bra,3.166666667,1.158817131,36,3.066666667,1.437590577,15,3.238095238,0.94365046,21
brace,2,1.145643924,33,1.846153846,1.068188018,13,2.1,1.209610638,20
bracket,2.333333333,1.11894259,42,2.333333333,1.2344268,15,2.333333333,1.074172311,27
brag,1.882352941,1.037616905,34,1.75,1.138180366,12,1.954545455,0.998917163,22
braid,2.212121212,0.960389757,33,2.090909091,0.831209415,11,2.272727273,1.03195691,22
brain,2.064516129,1.152836614,31,2.333333333,1.414213562,9,1.954545455,1.045501599,22
brake,2,1.032795559,31,2.357142857,1.150728389,14,1.705882353,0.848874688,17
bran,2.153846154,1.089144076,39,2.3,1.174285897,20,2,1,19
branch,2.275862069,1.13063041,29,2.307692308,1.250640861,13,2.25,1.064581295,16
brand,2.225806452,1.309190015,31,3.1,1.449137675,10,1.80952381,1.030487633,21
brassiere,2.9375,1.412787225,32,2.583333333,1.443375673,12,3.15,1.386969434,20
brawl,2.243243243,1.140307108,37,2.125,1.087811258,16,2.333333333,1.197219,21
brawn,2.466666667,1.07425462,30,2.230769231,0.926808696,13,2.647058824,1.169464432,17
bread,2,1,31,1.909090909,1.044465936,11,2.05,0.998683344,20
break,2.034482759,1.148998279,29,2.090909091,1.375103302,11,2,1.028991511,18
breakdown,1.971428571,1.070615938,35,1.571428571,0.937614462,14,2.238095238,1.091089451,21
breaker,2.333333333,1.140531897,42,2.25,1.238278375,16,2.384615385,1.098250357,26
breakfast,2.352941176,1.069759331,34,2.307692308,1.109400392,13,2.380952381,1.07126983,21
breakthrough,2.176470588,1.217811953,34,2.3125,1.400892573,16,2.055555556,1.055641551,18
breakup,1.84375,1.050633449,32,2.461538462,1.265924209,13,1.421052632,0.606976979,19
breast,2.972972973,1.343430238,37,3.375,1.360147051,16,2.666666667,1.278019301,21
breath,1.727272727,0.83937206,33,1.529411765,0.717430054,17,1.9375,0.928708781,16
breather,2.366666667,1.217213702,30,2.1875,1.167261753,16,2.571428571,1.283881478,14
breech,2.341463415,1.086502556,41,2.176470588,1.074435556,17,2.458333333,1.102533315,24
breeder,2.348837209,1.020824152,43,2.523809524,1.030487633,21,2.181818182,1.006472559,22
breeding,2.423076923,1.361560191,26,2.714285714,1.380131119,7,2.277777778,1.40610248,18
breeze,2.153846154,1.046606237,26,1.666666667,1.032795559,6,2.263157895,1.045737659,19
brethren,2.407407407,1.248360749,27,2.545454545,1.293339581,11,2.3125,1.25,16
brew,2.545454545,1.120572094,33,2.333333333,1.07308674,12,2.666666667,1.154700538,21
brewery,2.32,1.107549848,25,2.5,1.224744871,6,2.277777778,1.127493605,18
briar,2.619047619,1.160869953,21,2.571428571,1.272418021,7,2.642857143,1.150728389,14
bribe,2.4375,1.10533895,32,2.466666667,1.407463101,15,2.411764706,0.795206226,17
bride,2.285714286,1.065780701,42,2.294117647,1.212678125,17,2.208333333,0.931532943,24
